CS_COMPANY_ID|BUSINESS_NAME|COMPANY_REGISTRATION_NUMBER|ADDRESS1|ADDRESS2|ADDRESS3|ADDRESS4|ADDRESS5|ADDRESS_TYPE
BE02768320|Brandweer Neerpelt|2239810667|Heuvelerweg(SHL)|24||3910|Pelt|0
BE02768320|Hoofdzetel: Hulpverleningszone Noord-Limburg|2236326090|Norbert Neeckxlaan|52||3920|Lommel|0
BE02768320|Brandweer|2162496422|Norbert Neeckxlaan|52||3920|Lommel|0
BE02768320|Brandweer|2162616087|Bocholterstraat|15||3960|Bree|0
BE02768320|Brandweer en Ambulance|2172925704|Koningin Louisa-Marialaan|23||3970|Leopoldsburg|0
BE02768320||2352678580||||||0
BE02754306|PARLAK, MARIIA|563671255||||||1
BE02754306|Mariia Parlak|2355514742|Vuurkruisenlei|33||2930|Brasschaat|0
BE02761855|J.M.G. TRANS SRL|564929384|LT. GRAFFPLEIN|15||1780|WEMMEL|1
BE02761855|J.M.G.TRANS|2236486339|Rue de Keumiée(TAM)|44||5060|Sambreville|0
BE02738008|LINQ INVEST SPRL|558849761|AVENUE LOUISE|143 / 4||1050|IXELLES|1
BE02766627|RÉGIE COMMUNALE AUTONOME VILLE DE SPA|567609356|RUE DE L'HÔTEL DE VILLE|44||4900|SPA|1
BE02766627|Piscine Communale de Spa - Cafétéria|2355769912|Avenue Amédée Hesse|11||4900|Spa|0
BE02758029|BULTYNCK, SHIRLEY|563968490|KORTRIJKSTRAAT|3 / 201||8560|WEVELGEM|1
BE02758029|Shirley Bultynck|2355737644|Kortrijkstraat|3||8560|Wevelgem|0
BE02733786|BROOD-BANKET WIM BV|555977670|AALBEEKSESTRAAT|28||8510|KORTRIJK|1
BE02733786|Brood-Banket Wim|2233614743|Aalbeeksestraat(Rol)|28||8510|Kortrijk|0
BE02703512|DOKTER ALICE FOUCKOVA, ENDOCRINOLOGIE BV|546797908|OVIDE DECROLYLAAN|93 / 3.1||9600|RONSE|1
BE02703512|AZ Glorieux|2227481967|Stefaan Modest Glorieuxlaan|55||9600|Ronse|0
BE02703517|ISOMEL SRL|546747032|RUE ALFRED THIÉBAUT|3||6280|GERPINNES|1
BE02703517|ISOMEL|2227119901|Rue Alfred Thiébaut(GER)|3||6280|Gerpinnes|0
BE02787438|BONNEUX, GIESBERT|568608753||||||1
BE02751254|KUSAKCI OGULLARI BV|563391737|BISSCHOPPENHOFLAAN|135||2100|ANTWERPEN|1
BE02751254|KUSAKCI OGULLARI|2235165258|Bisschoppenhoflaan|135||2100|Antwerpen|0
BE02784791|NILSSON EUROPE|507930701|ZONING DE JUMET,4ÈME RUE|33||6040|CHARLEROI|1
BE02784791|BOSMANS LEASE|2241049792|Zoning de Jumet,4ème rue|33||6040|Charleroi|0
BE02792820|RAKOTONANAHARY, AINA|578936976||||||1
BE02792820||2238474542|Alfons Lenaertsstraat|43||1950|Kraainem|0
BE02732078|CRÉATIQUE SRL|555711614|RUE DU CHÊNE AU CORBEAU|47||1380|LASNE|1
BE02732078|CREATIQUE|2232630291|Rue de Pinchart|80||1340|Ottignies-Louvain-la-Neuve|0
BE02705086|OPHTASER SPRL SPRL|546999133|ZIJP|33||1780|WEMMEL|1
BE02705086|OPHTASER|2281792564|Rue Emile Vandervelde(FL)|141||6220|Fleurus|0
BE02705086|OPHTASER|2236692316|Avenue Stiénon|9||1020|Bruxelles|0
BE02705086|Clinique de la Basilique CHIREC|2346339235|Rue Pangaert|37||1083|Ganshoren|0
BE02705086|Hôpital De Warquignies- Groupe Jolimont|2346339037|Rue des Chaufours(B)|27||7300|Boussu|0
BE02705086|Clinique Saint-Anne Saint -Remi CHIREC|2346339136|Boulevard Jules Graindor|66||1070|Anderlecht|0
BE02705086|Centre de médecine spécialisée de Forest|2346338839|Place Saint-Denis|33||1190|Forest|0
BE02705086|OPHTASER|2281792663|Rue Samiette|1||1400|Nivelles|0
BE02705086|Hôpital Saint-Joseph Mons|2346338938|Avenue B. de Constantinople|5||7000|Mons|0
BE02749059|LIEKENS-L BV|562928315|KALLOBAAN|142||9120|BEVEREN|1
BE02749059|Liekens-L|2235160805|Kallobaan(BEV)|142||9120|Beveren|0
BE02792875|LALANDE, DORINE|578937273||||||1
BE02774920|GEMOLOGICAL LAB BV|505897659|HOVENIERSSTRAAT|35||2018|ANTWERPEN|1
BE02774920|GEMOLOGICAL LAB|2237552250|Hoveniersstraat|35||2018|Antwerpen|0
BE02724878|AJ CONSEIL SRL|553592955|ROUTE DE BAVAY|72||7080|FRAMERIES|1
BE02724878|AJ CONSEIL|2231533104|Route de Bavay|72||7080|Frameries|0
BE02754122|TONIBET SPRL|563644036|BOULEVARD LAMBERMONT|22 / 17||1030|SCHAERBEEK|1
BE02754122|TONIBET|2236166239|Boulevard Lambermont|3||1030|Schaerbeek|0
BE02749758|MK TRICLR BV|562994631|BOULEVARD LÉOPOLD II|165||1080|MOLENBEEK-SAINT-JEAN|1
BE02749758|MK Triclr|2236140901|Boulevard Léopold II|165||1080|Molenbeek-Saint-Jean|0
BE02734835|FLEULACO BV|556692106|KANTONSWEG|141 / A||3650|DILSEN-STOKKEM|1
BE02734835|FLEULACO|2233869913|Kantonsweg|141||3650|Dilsen-Stokkem|0
